total_pymnt_inv,int_rate,out_prncp,purpose,total_pymnt,zip_code,funded_amnt_inv,dti,revol_util,term,delinq_2yrs,total_rec_prncp,out_prncp_inv,emp_length,verification_status,funded_amnt,disbursement_method,home_ownership,loan_amnt,revol_bal,pub_rec,total_rec_int,recoveries,grade,addr_state,sub_grade,mths_since_last_record,total_bc_limit,inq_last_6mths,all_util,annual_inc,collection_recovery_fee,default_flag
6427.83,9.16,0.0,credit_card,6427.8251439559,537xx,6000.0,24.09,56.0,36 months,1,6000.0,0.0,10.0,Not Verified,6000,Cash,OWN,6000,16467,0,427.83,0.0,B,WI,B2,76.0,9100,0.0,70.0,63000.0,0.0,0.0
464.37,13.56,9763.85,debt_consolidation,464.37,190xx,10000.0,6.66,10.6,60 months,0,236.15,9763.85,1.0,Not Verified,10000,Cash,RENT,10000,1765,0,228.22,0.0,C,PA,C1,76.0,15900,0.0,97.0,44000.0,0.0,0.0
11407.89,11.98,26062.1,credit_card,11407.89,107xx,34425.0,32.37,54.0,36 months,0,8362.9,26062.1,10.0,Source Verified,34425,Cash,RENT,34425,44210,0,3044.99,0.0,B,NY,B5,76.0,46000,0.0,57.0,67000.0,0.0,0.0
5476.69,14.52,16272.01,credit_card,5476.69,483xx,20000.0,31.96,26.1,36 months,0,3727.99,16272.01,6.0,Not Verified,20000,Cash,RENT,20000,24838,0,1748.7,0.0,C,MI,C3,76.0,48400,2.0,69.0,90000.0,0.0,0.0
5336.63,15.04,22331.47,debt_consolidation,5336.63,775xx,25000.0,19.74,43.8,60 months,0,2668.53,22331.47,10.0,Verified,25000,DirectPay,MORTGAGE,25000,19054,0,2668.1,0.0,C,TX,C4,76.0,37800,1.0,58.0,80000.0,0.0,0.0
11406.58,6.97,0.0,debt_consolidation,11406.58,945xx,11000.0,6.2,70.6,36 months,0,11000.0,0.0,2.0,Verified,11000,Cash,MORTGAGE,11000,4027,0,406.58,0.0,A,CA,A3,76.0,5700,0.0,70.0,83000.0,0.0,0.0
12651.29,5.32,359.69,debt_consolidation,12651.29,229xx,12000.0,16.46,40.8,36 months,0,11640.31,359.69,4.0,Not Verified,12000,Cash,MORTGAGE,12000,24407,0,1010.98,0.0,A,VA,A1,76.0,26000,0.0,72.0,148000.0,0.0,0.0
3904.16,22.9,0.0,credit_card,3904.1579366067,920xx,3600.0,26.15,50.9,36 months,1,3600.0,0.0,1.0,Source Verified,3600,Cash,RENT,3600,3002,0,304.16,0.0,E,CA,E1,76.0,4400,2.0,53.0,40000.0,0.0,0.0
30459.57,9.99,0.0,credit_card,30459.5650507142,840xx,25000.0,14.45,52.3,60 months,1,25000.0,0.0,5.0,Not Verified,25000,Cash,MORTGAGE,25000,28016,0,5459.57,0.0,B,UT,B3,76.0,28000,2.0,58.0,78000.0,0.0,0.0
2520.63,13.58,8633.53,debt_consolidation,2520.63,036xx,10000.0,30.56,27.0,60 months,1,1366.47,8633.53,2.0,Source Verified,10000,Cash,MORTGAGE,10000,3616,0,1154.16,0.0,C,NH,C2,76.0,10000,1.0,27.0,35000.0,0.0,0.0
8929.0,7.35,16578.5,debt_consolidation,8929.0,492xx,24000.0,31.92,25.6,36 months,0,7421.5,16578.5,10.0,Not Verified,24000,Cash,MORTGAGE,24000,9009,0,1507.5,0.0,A,MI,A4,76.0,26000,0.0,48.0,65000.0,0.0,0.0
1340.03,7.21,7579.02,credit_card,1340.03,934xx,8675.0,12.27,13.4,36 months,0,1095.98,7579.02,5.0,Not Verified,8675,Cash,RENT,8675,3646,0,244.05,0.0,A,CA,A3,76.0,18500,0.0,38.0,95000.0,0.0,0.0
3222.14,10.49,506.34,debt_consolidation,3222.14,802xx,3200.0,12.18,63.0,36 months,0,2693.66,506.34,10.0,Source Verified,3200,Cash,MORTGAGE,3200,9330,0,528.48,0.0,B,CO,B3,76.0,11500,0.0,108.0,75000.0,0.0,0.0
11605.46,11.47,0.0,debt_consolidation,11605.4603007128,981xx,10000.0,33.01,72.4,36 months,1,10000.0,0.0,2.0,Source Verified,10000,Cash,RENT,10000,9771,0,1605.46,0.0,B,WA,B5,76.0,6700,0.0,61.0,46000.0,0.0,0.0
1873.79,7.96,4473.9,debt_consolidation,1873.79,852xx,6000.0,6.38,30.6,36 months,0,1526.1,4473.9,5.0,Source Verified,6000,Cash,MORTGAGE,6000,5899,1,347.69,0.0,A,AZ,A5,59.0,10500,1.0,37.0,60000.0,0.0,0.0
1850.43,7.21,8480.3,credit_card,1850.43,200xx,10000.0,5.78,33.1,36 months,0,1519.7,8480.3,1.0,Not Verified,10000,Cash,RENT,10000,9273,0,330.73,0.0,A,DC,A3,76.0,28000,1.0,43.0,150000.0,0.0,0.0
7957.13,8.59,2204.06,credit_card,7957.13,600xx,9000.0,10.07,45.7,36 months,0,6795.94,2204.06,9.0,Not Verified,9000,Cash,RENT,9000,11754,0,1161.19,0.0,A,IL,A5,76.0,25700,0.0,46.0,32000.0,0.0,0.0
2560.36,9.58,8018.27,debt_consolidation,2560.36,853xx,10000.0,15.91,7.6,36 months,0,1981.73,8018.27,10.0,Source Verified,10000,Cash,MORTGAGE,10000,1877,1,578.63,0.0,B,AZ,B1,73.0,22000,0.0,70.0,100000.0,0.0,0.0
20069.9,8.39,12932.28,debt_consolidation,20069.9,100xx,28000.0,10.81,64.4,60 months,0,15067.72,12932.28,10.0,Not Verified,28000,Cash,MORTGAGE,28000,34920,1,4973.53,0.0,B,NY,B1,117.0,19200,0.0,59.0,150000.0,0.0,0.0
16365.57,8.24,0.0,debt_consolidation,16365.5695241747,812xx,15000.0,20.7,53.7,36 months,0,15000.0,0.0,4.0,Source Verified,15000,Cash,RENT,15000,17199,0,1365.57,0.0,B,CO,B1,76.0,32000,0.0,70.0,65000.0,0.0,0.0
12564.09,8.99,0.0,debt_consolidation,12564.0918868415,480xx,12000.0,12.23,14.5,36 months,0,12000.0,0.0,10.0,Not Verified,12000,Cash,MORTGAGE,12000,9714,0,564.09,0.0,B,MI,B1,76.0,38600,3.0,17.0,69000.0,0.0,0.0
9856.23,12.79,0.0,debt_consolidation,9856.2337427069,211xx,8400.0,18.38,56.6,36 months,1,8400.0,0.0,2.0,Source Verified,8400,Cash,RENT,8400,6109,0,1456.23,0.0,C,MD,C1,76.0,8500,0.0,93.0,39311.0,0.0,0.0
18919.3,7.89,9492.04,debt_consolidation,18919.3,368xx,24000.0,10.88,24.8,60 months,0,14507.96,9492.04,10.0,Not Verified,24000,Cash,MORTGAGE,24000,21255,0,4411.34,0.0,A,AL,A5,76.0,44000,0.0,58.0,125000.0,0.0,0.0
8316.6,18.99,0.0,debt_consolidation,8448.6061895476,780xx,6300.0,45.28,43.9,36 months,0,6400.0,0.0,2.0,Verified,6400,DirectPay,OWN,6400,4215,0,2048.61,0.0,D,TX,D4,76.0,7200,3.0,54.0,29500.0,0.0,0.0
12882.94,16.99,13337.54,home_improvement,12882.94,331xx,20000.0,28.67,54.0,60 months,0,6662.46,13337.54,4.0,Verified,20000,Cash,MORTGAGE,20000,16474,1,6220.48,0.0,D,FL,D1,50.0,23500,0.0,54.0,65500.0,0.0,0.0
2248.39,12.61,8736.85,debt_consolidation,2248.39,482xx,10000.0,5.95,16.4,60 months,0,1263.15,8736.85,6.0,Verified,10000,Cash,MORTGAGE,10000,2896,3,985.24,0.0,C,MI,C1,7.0,10700,0.0,32.0,67000.0,0.0,0.0
3578.62,16.02,0.0,debt_consolidation,3578.6190368832,207xx,3200.0,19.27,46.9,36 months,0,3200.0,0.0,6.0,Verified,3200,Cash,RENT,3200,4452,0,378.62,0.0,C,MD,C5,76.0,5800,0.0,47.0,10584.0,0.0,0.0
1870.66,15.02,19080.2,debt_consolidation,1870.66,468xx,20000.0,17.23,11.0,60 months,3,919.8,19080.2,2.0,Source Verified,20000,Cash,MORTGAGE,20000,2404,0,950.86,0.0,C,IN,C3,76.0,15200,0.0,49.0,105000.0,0.0,0.0
321.37,10.33,4760.82,credit_card,321.37,330xx,5000.0,2.06,50.5,36 months,0,239.18,4760.82,6.0,Not Verified,5000,Cash,RENT,5000,4801,0,82.19,0.0,B,FL,B1,76.0,3000,1.0,51.0,62400.0,0.0,0.0
7393.52,7.21,33917.7,debt_consolidation,7393.52,337xx,40000.0,15.13,17.8,36 months,0,6082.3,33917.7,5.0,Source Verified,40000,Cash,MORTGAGE,40000,9924,0,1311.22,0.0,A,FL,A3,76.0,55900,2.0,48.0,170000.0,0.0,0.0
4755.89,16.14,25766.69,debt_consolidation,4755.89,300xx,28000.0,7.18,4.0,60 months,0,2233.31,25766.69,3.0,Not Verified,28000,Cash,RENT,28000,350,0,2522.58,0.0,C,GA,C4,76.0,7500,2.0,45.0,48000.0,0.0,0.0
10470.6,9.17,0.0,credit_card,10470.5959851127,453xx,9600.0,13.77,14.3,36 months,0,9600.0,0.0,8.0,Not Verified,9600,Cash,MORTGAGE,9600,3376,0,870.6,0.0,B,OH,B2,76.0,14400,2.0,58.0,57000.0,0.0,0.0
6104.47,7.84,34989.06,debt_consolidation,6104.47,161xx,40000.0,37.25,68.9,36 months,0,5010.94,34989.06,10.0,Source Verified,40000,DirectPay,MORTGAGE,40000,33256,0,1093.53,0.0,A,PA,A4,76.0,22400,0.0,48.0,78000.0,0.0,0.0
4662.68,16.91,24887.65,debt_consolidation,4662.68,954xx,27000.0,16.22,77.8,60 months,1,2112.35,24887.65,10.0,Not Verified,27000,DirectPay,RENT,27000,23882,0,2550.33,0.0,C,CA,C5,76.0,23800,0.0,62.0,78056.46,0.0,0.0
3237.71,12.61,12581.03,major_purchase,3237.71,735xx,14400.0,19.12,66.5,60 months,0,1818.97,12581.03,1.0,Not Verified,14400,Cash,MORTGAGE,14400,6920,0,1418.74,0.0,C,OK,C1,76.0,6500,0.0,38.0,120000.0,0.0,0.0
1955.98,16.46,9089.39,debt_consolidation,1955.98,604xx,10000.0,7.05,22.6,60 months,1,910.61,9089.39,1.0,Source Verified,10000,Cash,RENT,10000,8373,0,1045.37,0.0,C,IL,C5,76.0,37000,0.0,23.0,48000.0,0.0,0.0
11527.4,15.59,0.0,debt_consolidation,11527.4032816021,600xx,10000.0,32.23,47.6,36 months,0,10000.0,0.0,10.0,Source Verified,10000,Cash,MORTGAGE,10000,48449,0,1527.4,0.0,C,IL,C5,76.0,55400,1.0,48.0,130000.0,0.0,0.0
824.23,19.42,2003.21,car,824.23,836xx,2500.0,18.36,28.0,36 months,1,496.79,2003.21,1.0,Not Verified,2500,Cash,RENT,2500,2635,0,327.44,0.0,D,ID,D3,76.0,2550,1.0,28.0,70000.0,0.0,0.0
303.44,13.56,2793.69,debt_consolidation,303.44,599xx,3000.0,10.03,92.1,36 months,0,206.31,2793.69,10.0,Source Verified,3000,Cash,MORTGAGE,3000,9672,1,97.13,0.0,C,MT,C1,96.0,10500,0.0,75.0,125000.0,0.0,0.0
4278.38,11.49,1564.86,moving,4278.38,112xx,5000.0,14.52,79.6,36 months,0,3435.14,1564.86,2.0,Source Verified,5000,Cash,RENT,5000,18941,0,843.24,0.0,B,NY,B5,76.0,23800,0.0,104.0,70000.0,0.0,0.0
16360.83,14.48,0.0,debt_consolidation,16515.659832361,328xx,15850.0,3.26,29.8,60 months,0,16000.0,0.0,4.0,Not Verified,16000,Cash,MORTGAGE,16000,9975,0,515.66,0.0,C,FL,C5,76.0,25900,0.0,50.0,60000.0,0.0,0.0
4289.69,6.71,9014.58,debt_consolidation,4289.69,080xx,12600.0,27.6,29.3,36 months,0,3585.42,9014.58,10.0,Source Verified,12600,Cash,MORTGAGE,12600,8901,0,704.27,0.0,A,NJ,A3,76.0,18000,1.0,50.0,60000.0,0.0,0.0
8701.39,14.49,2003.68,major_purchase,8701.39,916xx,8725.0,13.15,51.9,36 months,0,6721.32,2003.68,1.0,Source Verified,8725,Cash,RENT,8725,3012,0,1980.07,0.0,C,CA,C4,76.0,3700,0.0,41.0,23000.0,0.0,0.0
26973.52,30.49,0.0,debt_consolidation,26973.5200989334,604xx,21000.0,20.62,79.5,36 months,0,21000.0,0.0,1.0,Source Verified,21000,Cash,OWN,21000,11170,2,5973.52,0.0,F,IL,F4,49.0,10700,1.0,58.0,100000.0,0.0,0.0
10914.77,10.99,0.0,debt_consolidation,10914.7723775819,368xx,10000.0,18.67,51.8,36 months,0,10000.0,0.0,10.0,Verified,10000,Cash,OWN,10000,14302,0,914.77,0.0,B,AL,B4,76.0,13600,0.0,54.0,38185.0,0.0,0.0
6432.31,18.45,25248.58,debt_consolidation,6432.31,183xx,28000.0,30.62,86.0,60 months,0,2751.42,25248.58,3.0,Source Verified,28000,Cash,MORTGAGE,28000,36032,0,3680.89,0.0,D,PA,D2,76.0,36900,0.0,86.0,121070.0,0.0,0.0
14316.77,15.99,0.0,debt_consolidation,14376.6771185807,282xx,11950.0,19.29,55.4,36 months,0,12000.0,0.0,3.0,Verified,12000,Cash,MORTGAGE,12000,5597,0,2376.68,0.0,C,NC,C5,76.0,8300,1.0,63.0,55000.0,0.0,0.0
4332.02,10.07,23238.82,debt_consolidation,4332.02,958xx,26000.0,9.4,64.1,60 months,0,2761.18,23238.82,7.0,Source Verified,26000,Cash,RENT,26000,11158,0,1570.84,0.0,B,CA,B2,76.0,17400,0.0,55.0,88476.0,0.0,0.0
10035.87,9.16,284.63,debt_consolidation,10035.87,330xx,9000.0,20.98,26.6,36 months,1,8715.37,284.63,8.0,Source Verified,9000,Cash,RENT,9000,10415,0,1320.5,0.0,B,FL,B2,76.0,23700,1.0,26.0,30500.0,0.0,0.0
16469.68,7.39,0.0,debt_consolidation,16469.6766355027,927xx,15000.0,10.2,68.2,36 months,0,15000.0,0.0,10.0,Source Verified,15000,Cash,MORTGAGE,15000,11452,0,1469.68,0.0,A,CA,A4,76.0,16800,0.0,68.0,100000.0,0.0,0.0
1839.15,6.67,10473.02,debt_consolidation,1839.15,958xx,12000.0,10.13,14.0,36 months,0,1526.98,10473.02,2.0,Verified,12000,Cash,RENT,12000,2526,1,312.17,0.0,A,CA,A2,66.0,14500,0.0,35.0,52000.0,0.0,0.0
4211.4,9.92,9766.29,credit_card,4211.4,490xx,13000.0,24.72,35.4,36 months,0,3233.71,9766.29,3.0,Not Verified,13000,Cash,MORTGAGE,13000,19840,0,977.69,0.0,B,MI,B2,76.0,56100,2.0,57.0,94000.0,0.0,0.0
2223.23,10.56,11635.24,debt_consolidation,2223.23,201xx,13000.0,17.57,35.5,60 months,0,1364.76,11635.24,10.0,Source Verified,13000,DirectPay,MORTGAGE,13000,15566,0,858.47,0.0,B,VA,B3,76.0,26400,0.0,71.0,80000.0,0.0,0.0
8525.7,5.32,0.0,credit_card,8525.696804088,787xx,8000.0,11.77,3.1,36 months,4,8000.0,0.0,2.0,Source Verified,8000,Cash,MORTGAGE,8000,715,0,525.7,0.0,A,TX,A1,76.0,12300,0.0,15.0,120000.0,0.0,0.0
6293.58,16.01,15856.08,debt_consolidation,6293.58,921xx,20000.0,23.33,50.4,36 months,1,4143.92,15856.08,7.0,Not Verified,20000,Cash,RENT,20000,24505,0,2149.66,0.0,C,CA,C5,76.0,22900,0.0,33.0,93000.0,0.0,0.0
5224.33,12.62,8177.46,credit_card,5224.33,338xx,12000.0,18.71,37.3,36 months,0,3822.54,8177.46,2.0,Source Verified,12000,Cash,RENT,12000,11327,0,1401.79,0.0,C,FL,C1,76.0,20500,0.0,82.0,42000.0,0.0,0.0
16126.79,11.47,10219.95,debt_consolidation,16126.79,144xx,21000.0,6.73,58.3,60 months,0,10780.05,10219.95,1.0,Not Verified,21000,Cash,MORTGAGE,21000,7235,0,5346.74,0.0,B,NY,B5,76.0,12100,0.0,58.0,160000.0,0.0,0.0
4117.18,12.74,0.0,other,4117.1772972063,760xx,3600.0,29.69,90.8,36 months,0,3600.0,0.0,10.0,Verified,3600,Cash,MORTGAGE,3600,20154,0,517.18,0.0,C,TX,C1,76.0,22200,1.0,78.0,68000.0,0.0,0.0
893.6,20.89,3493.31,debt_consolidation,893.6,933xx,4000.0,8.23,32.1,36 months,0,506.69,3493.31,3.0,Source Verified,4000,Cash,MORTGAGE,4000,3921,0,386.91,0.0,D,CA,D4,76.0,9200,1.0,47.0,55000.0,0.0,0.0
2232.63,15.04,9379.2,debt_consolidation,2232.63,413xx,10500.0,14.22,56.4,60 months,0,1120.8,9379.2,10.0,Source Verified,10500,Cash,RENT,10500,7610,0,1111.83,0.0,C,KY,C4,76.0,5800,1.0,72.0,46000.0,0.0,0.0
27077.69,5.32,0.0,debt_consolidation,27077.686836593,952xx,25000.0,18.74,76.4,36 months,0,25000.0,0.0,10.0,Source Verified,25000,Cash,MORTGAGE,25000,82913,0,2077.69,0.0,A,CA,A1,76.0,51200,0.0,70.0,225000.0,0.0,0.0
30822.97,9.75,0.0,credit_card,30822.9701955012,605xx,26600.0,36.06,91.0,36 months,0,26600.0,0.0,10.0,Verified,26600,Cash,MORTGAGE,26600,132733,0,4222.97,0.0,B,IL,B3,76.0,39200,2.0,91.0,205000.0,0.0,0.0
5076.45,12.62,15962.77,credit_card,5076.45,945xx,18850.0,7.12,82.0,60 months,0,2887.23,15962.77,1.0,Source Verified,18850,Cash,RENT,18850,18866,0,2189.22,0.0,C,CA,C1,76.0,18000,0.0,82.0,75000.0,0.0,0.0
6993.1,10.99,0.0,debt_consolidation,6993.0954764228,891xx,6000.0,30.13,43.9,36 months,0,6000.0,0.0,6.0,Source Verified,6000,Cash,RENT,6000,7641,1,993.1,0.0,B,NV,B4,53.0,12000,0.0,60.0,54000.0,0.0,0.0
5636.05,9.75,0.0,debt_consolidation,5636.0545925636,913xx,5000.0,3.2,32.4,36 months,2,5000.0,0.0,10.0,Source Verified,5000,Cash,RENT,5000,3695,2,636.05,0.0,B,CA,B3,38.0,7200,2.0,64.0,42000.0,0.0,0.0
5956.4,13.99,0.0,moving,5956.4029779678,900xx,5000.0,14.35,94.1,36 months,3,5000.0,0.0,3.0,Verified,5000,Cash,RENT,5000,4704,0,956.4,0.0,C,CA,C4,76.0,5000,0.0,93.0,32700.0,0.0,0.0
3067.05,23.87,10970.17,debt_consolidation,3067.05,900xx,12000.0,26.13,95.6,60 months,0,1029.83,10970.17,1.0,Verified,12000,DirectPay,RENT,12000,15966,0,2037.22,0.0,E,CA,E2,76.0,11700,0.0,77.0,42440.0,0.0,0.0
20758.89,15.31,0.0,debt_consolidation,20758.8884446895,104xx,16000.0,14.12,33.2,60 months,1,16000.0,0.0,4.0,Verified,16000,Cash,RENT,16000,10065,0,4758.89,0.0,C,NY,C5,76.0,20100,0.0,40.0,52000.0,0.0,0.0
1252.32,8.19,19012.66,credit_card,1252.32,301xx,20000.0,23.81,41.9,36 months,0,987.34,19012.66,1.0,Verified,20000,DirectPay,MORTGAGE,20000,27977,1,264.98,0.0,A,GA,A4,77.0,52900,1.0,65.0,70000.0,0.0,0.0
3955.74,18.2,0.0,other,3955.7377809892,172xx,3000.0,19.14,49.5,36 months,0,3000.0,0.0,2.0,Verified,3000,Cash,MORTGAGE,3000,5545,0,925.74,0.0,E,PA,E1,76.0,4400,2.0,58.0,45000.0,0.0,0.0
1419.72,15.02,9301.4,small_business,1419.72,331xx,10000.0,29.25,84.7,60 months,0,698.6,9301.4,2.0,Not Verified,10000,Cash,RENT,10000,20583,0,721.12,0.0,C,FL,C3,76.0,19500,0.0,65.0,48000.0,0.0,0.0
38346.3,9.75,2228.29,debt_consolidation,38346.3,017xx,35000.0,7.53,80.8,36 months,0,32771.71,2228.29,10.0,Verified,35000,Cash,MORTGAGE,35000,38459,0,5574.59,0.0,B,MA,B3,76.0,19000,0.0,66.0,700000.0,0.0,0.0
18215.67,12.59,0.0,debt_consolidation,18215.6686456039,107xx,16000.0,20.45,22.9,36 months,3,16000.0,0.0,6.0,Verified,16000,Cash,MORTGAGE,16000,4708,1,2215.67,0.0,C,NY,C2,67.0,19800,1.0,58.0,48000.0,0.0,0.0
578.16,10.08,2560.54,home_improvement,578.16,432xx,3000.0,0.96,0.0,36 months,1,439.46,2560.54,6.0,Source Verified,3000,Cash,RENT,3000,0,0,138.7,0.0,B,OH,B1,76.0,800,1.0,18.0,65000.0,0.0,0.0
3258.68,9.49,0.0,debt_consolidation,3258.679523567,112xx,3000.0,7.64,49.7,36 months,0,3000.0,0.0,10.0,Source Verified,3000,Cash,RENT,3000,3961,0,258.68,0.0,B,NY,B2,76.0,10600,0.0,51.0,46000.0,0.0,0.0
20570.69,11.55,0.0,credit_card,20570.6885387851,193xx,20275.0,28.79,13.6,60 months,0,20275.0,0.0,1.0,Not Verified,20275,Cash,RENT,20275,18126,0,295.69,0.0,B,PA,B4,76.0,113000,2.0,40.0,85000.0,0.0,0.0
36308.09,21.49,0.0,credit_card,36308.0935761108,224xx,28775.0,31.76,52.9,36 months,0,28775.0,0.0,10.0,Not Verified,28775,Cash,OWN,28775,28884,0,7533.09,0.0,D,VA,D5,76.0,40900,0.0,64.0,89000.0,0.0,0.0
2656.43,10.99,618.55,debt_consolidation,2656.43,285xx,2800.0,7.68,48.1,36 months,0,2181.45,618.55,5.0,Source Verified,2800,Cash,RENT,2800,4136,0,474.98,0.0,B,NC,B4,76.0,4800,0.0,48.0,25000.0,0.0,0.0
1922.21,6.46,19400.82,debt_consolidation,1922.21,667xx,21000.0,32.64,50.9,36 months,0,1599.18,19400.82,2.0,Source Verified,21000,DirectPay,MORTGAGE,21000,10640,0,323.03,0.0,A,KS,A1,76.0,16500,1.0,52.0,42619.0,0.0,0.0
8215.3,13.99,0.0,debt_consolidation,8215.3033467567,325xx,7000.0,34.32,59.4,36 months,0,7000.0,0.0,4.0,Source Verified,7000,Cash,OWN,7000,9386,0,1215.3,0.0,C,FL,C3,76.0,7500,0.0,76.0,45000.0,0.0,0.0
2402.98,5.31,7913.01,debt_consolidation,2402.98,920xx,10000.0,3.74,28.3,36 months,0,2086.99,7913.01,1.0,Not Verified,10000,DirectPay,MORTGAGE,10000,14301,0,315.99,0.0,A,CA,A1,76.0,50500,1.0,28.0,80000.0,0.0,0.0
1194.76,8.19,29184.67,home_improvement,1194.76,300xx,30000.0,9.23,16.1,60 months,0,815.33,29184.67,10.0,Not Verified,30000,Cash,MORTGAGE,30000,16850,0,379.43,0.0,A,GA,A4,76.0,99300,1.0,33.0,111550.0,0.0,0.0
648.5,13.56,4357.41,debt_consolidation,648.5,719xx,4800.0,27.89,68.0,36 months,0,442.59,4357.41,1.0,Source Verified,4800,DirectPay,RENT,4800,4554,0,205.91,0.0,C,AR,C1,76.0,3800,0.0,49.0,15500.0,0.0,0.0
6204.6,6.67,34910.09,debt_consolidation,6204.6,336xx,40000.0,34.41,36.0,36 months,0,5089.91,34910.09,7.0,Verified,40000,Cash,RENT,40000,19409,0,1114.69,0.0,A,FL,A2,76.0,49700,0.0,53.0,40000.0,0.0,0.0
2177.45,5.31,6117.52,home_improvement,2177.45,073xx,8000.0,2.0,10.6,36 months,0,1882.48,6117.52,6.0,Source Verified,8000,Cash,MORTGAGE,8000,1428,0,294.97,0.0,A,NJ,A1,76.0,11500,3.0,11.0,15000.0,0.0,0.0
10852.1,18.45,23244.58,debt_consolidation,10852.1,223xx,30000.0,15.24,49.2,36 months,2,6755.42,23244.58,1.0,Source Verified,30000,Cash,RENT,30000,48783,0,4096.68,0.0,D,VA,D2,76.0,81800,0.0,52.0,125000.0,0.0,0.0
43769.44,12.59,0.0,debt_consolidation,43769.4412695611,334xx,35000.0,34.0,72.9,60 months,0,35000.0,0.0,10.0,Verified,35000,Cash,RENT,35000,99338,0,8769.44,0.0,C,FL,C2,76.0,132900,0.0,60.0,190000.0,0.0,0.0
8537.94,13.99,3511.95,debt_consolidation,8537.94,630xx,10000.0,19.37,82.4,36 months,0,6488.05,3511.95,4.0,Source Verified,10000,Cash,RENT,10000,8077,0,2049.89,0.0,C,MO,C3,76.0,5200,0.0,55.0,43000.0,0.0,0.0
